taxon	rank	distance	rate
Cetartiodactyla	Order	50.490791	0.000518
Cetartiodactyla	Order	65.949565	0.000514
Cetartiodactyla	Order	58.605735	0.000536
Cetartiodactyla	Order	49.405553	0.000854
Cetartiodactyla	Order	49.405553	0.000851
Cetartiodactyla	Order	35.860079	0.000758
Cetartiodactyla	Order	35.860079	0.00073
Cetartiodactyla	Order	44.319969	0.000726
Cetartiodactyla	Order	44.601629	0.000678
Cetartiodactyla	Order	42.034514	0.000666
Cetartiodactyla	Order	31.971143	0.000668
Cetartiodactyla	Order	31.971143	0.000657
Cetartiodactyla	Order	52.444854	0.00108
Cetartiodactyla	Order	52.444854	0.001063
Cetartiodactyla	Order	45.717226	0.000993
Cetartiodactyla	Order	45.717226	0.00091
Cetartiodactyla	Order	27.111456	0.000667
Cetartiodactyla	Order	27.111456	0.000645
Cetartiodactyla	Order	50.891918	0.00036
Cetartiodactyla	Order	54.811066	0.000381
Cetartiodactyla	Order	44.897287	0.000385
Cetartiodactyla	Order	44.897287	0.00037
Cetartiodactyla	Order	36.890627	0.000627
Cetartiodactyla	Order	29.889017	0.000629
Cetartiodactyla	Order	20.7506	0.001306
Cetartiodactyla	Order	20.7506	0.001284
Cetartiodactyla	Order	27.613254	0.001953
Cetartiodactyla	Order	27.613254	0.001937
Cetartiodactyla	Order	34.247278	0.001961
Cetartiodactyla	Order	35.476343	0.001946
Choloepus_hoffmanni	Species	19.763239	0.000083
Choloepus_hoffmanni	Species	19.763239	0.000143
Chromadorea	Class	317.439814	0.00159
Chromadorea	Class	438.241132	0.000879
Chromadorea	Class	400.762529	0.00082
Chromadorea	Class	329.890755	0.000943
Chromadorea	Class	447.587824	0.00091
Chromadorea	Class	387.988566	0.002675
Chromadorea	Class	382.967566	0.001035
Chromadorea	Class	338.811396	0.001818
Chromadorea	Class	419.133074	0.000788
Ciona	Genus	181.950549	0.00098
Ciona	Genus	181.950549	0.000973
Ciona	Genus	169.935308	0.001446
Ciona	Genus	169.935308	0.001529
Ciona	Genus	195.341326	0.000933
Ciona	Genus	195.341326	0.000972
Ciona	Genus	222.071185	0.000852
Ciona	Genus	222.071185	0.000789
Ciona	Genus	159.509407	0.001185
Ciona	Genus	159.509407	0.001322
Ciona	Genus	171.896334	0.001133
Ciona	Genus	171.896334	0.001139
Ciona	Genus	199.113144	0.00066
Ciona	Genus	199.113144	0.000656
Clupeocephala	Supercohort	336.718684	0.001141
Clupeocephala	Supercohort	101.728056	0.00101
Clupeocephala	Supercohort	336.718683	0.00097
Clupeocephala	Supercohort	39.655219	0.000621
Clupeocephala	Supercohort	274.647153	0.000652
Clupeocephala	Supercohort	48.512221	0.0006
Clupeocephala	Supercohort	274.647154	0.000621
Codonosigidae	Family	601.08887	0.000879
Codonosigidae	Family	601.08887	0.0008
Codonosigidae	Family	687.717446	0.00114
Codonosigidae	Family	687.717446	0.00112
Codonosigidae	Family	527.094349	0.0008
Codonosigidae	Family	527.094349	0.000647
Codonosigidae	Family	833.294165	0.000452
Codonosigidae	Family	833.294165	0.000407
Codonosigidae	Family	738.20673	0.000647
Codonosigidae	Family	738.20673	0.00059
Codonosigidae	Family	556.705808	0.001127
Codonosigidae	Family	556.705808	0.001214
Coelomata		61.368884	0.000928
Coelomata		633.39215	0.000963
Coelomata		67.098969	0.000845
Coelomata		633.392151	0.00071
Coelomata		3.568539	0.000902
Coelomata		633.39215	0.000837
Coelomata		50.463843	0.000906
Coelomata		1.303669	0.000968
Coelomata		129.304785	0.000928
Coelomata		605.816308	0.000867
Coelomata		78.827131	0.000961
Coelomata		605.816307	0.000923
Coelomata		35.99266	0.000907
Coelomata		32.620062	0.001273
Coelomata		620.47114	0.00107
Coelomata		51.692448	0.001423
Coelomata		58.838719	0.001027
Coelomata		694.921777	0.001059
Coelomata		101.682173	0.001006
Coelomata		694.921777	0.001019
Coelomata		58.829096	0.0009
Coelomata		694.921777	0.000752
Coelomata		87.358622	0.000959
Coelomata		674.155738	0.000685
Coelomata		41.314373	0.000692
Coelomata		674.155738	0.000629
Coelomata		21.613754	0.00102
Coelomata		107.451075	0.000925
Coelomata		657.707795	0.000851
Coelomata		657.707795	0.00079
Coelomata		70.5058	0.001101
Coelomata		657.707795	0.001096
Coelomata		47.863537	0.000922
Coelomata		657.707796	0.000802
Coelomata		82.804372	0.000895
